#This is for 5 samples per cond
INFO:root:Elapsed time for DESeq2 for baseline0_0_5_v1 0:04:54.836519
INFO:root:Elapsed time for DESeq2 for baseline0_0_5_v2 0:04:01.437362
INFO:root:Elapsed time for DESeq2 for baseline0_0_5_v3 0:04:37.227904
INFO:root:Elapsed time for DESeq2 for baseline0_0_5_v4 0:04:33.875007
INFO:root:Elapsed time for DESeq2 for baseline0_0_5_v5 0:05:18.693427
INFO:root:Elapsed time for DESeq2 for baseline0_0_5_v6 0:04:46.873594
INFO:root:Elapsed time for DESeq2 for baseline0_0_5_v7 0:04:57.838314
INFO:root:Elapsed time for DESeq2 for baseline0_0_5_v8 0:04:37.232553
INFO:root:Elapsed time for DESeq2 for baseline0_0_5_v9 0:05:00.691579
INFO:root:Elapsed time for DESeq2 for baseline0_0_5_v10 0:04:52.540887
INFO:root:Elapsed time for DESeq2 for baseline1250_0_5_v1 0:04:52.166407
INFO:root:Elapsed time for DESeq2 for baseline625_625_5_v1 0:05:07.840210
INFO:root:Elapsed time for DESeq2 for baseline4000_0_5_v1 0:05:13.032671
INFO:root:Elapsed time for DESeq2 for baseline2000_2000_5_v1 0:03:56.214762
INFO:root:Elapsed time for DESeq2 for poisson0_0_5_v1 0:01:05.559754
INFO:root:Elapsed time for DESeq2 for poisson625_625_5_v1 0:00:58.638196
INFO:root:Elapsed time for DESeq2 for single0_0_5_v1 0:03:52.024181
INFO:root:Elapsed time for DESeq2 for random0_0_5_v1 0:04:05.742411
INFO:root:Elapsed time for DESeq2 for random625_625_5_v1 0:04:40.506667
INFO:root:Elapsed time for DESeq2 for baseline1250_0_5_v2 0:05:06.605374
INFO:root:Elapsed time for DESeq2 for baseline625_625_5_v2 0:05:38.765653
INFO:root:Elapsed time for DESeq2 for baseline4000_0_5_v2 0:04:23.434150
INFO:root:Elapsed time for DESeq2 for baseline2000_2000_5_v2 0:04:05.883089
INFO:root:Elapsed time for DESeq2 for poisson0_0_5_v2 0:00:55.004451
INFO:root:Elapsed time for DESeq2 for poisson625_625_5_v2 0:01:02.584126
INFO:root:Elapsed time for DESeq2 for single0_0_5_v2 0:04:07.851230
INFO:root:Elapsed time for DESeq2 for random0_0_5_v2 0:04:18.783267
